"Train Accuracy = 65.9999966621"
"Loss = 0.60452"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"ksaw_7","one step at a time, no need to rush.","Should I sacrifice a shower and lay down for an hour? #dailydecisions","9266CC","0","1","1","True"
"TurnerMillen","Lazy Cat Lover. Follow and Enjoy everyday's fresh Fan Images","#EndyDepression: https://t.co/QrFt9UPE9W  Getting the #Most Out of Your #Meditation https://t.co/knNSaHDXmh","89C9FA","0","1","1","True"
"yuribrigadir","Inventor. There's madness in my method. http://t.co/wIKlqaBHuI Views are my own.","If you want to solve multimillion dollar problems, start at making math easier : https://t.co/ukCImiX3R5 #entrepreneurship #math","0084B4","C0DEED","0","1","False"
"we_made_1t","*Graduate of Olive Branch High School. *Freshman at Mississippi State University.","Dude in the elevator smell like vinegar and booty. Booty vinegar if you will.","0084B4","C0DEED","0","1","False"
"zlipp","Roosevelter. Data, machine learning geek. Below average human, above average Smash Bros. player. Probably complaining about the weather.","The Moorhead Center Mall: Where No One Can Hear You Scream","EB2323","A8C7F7","0","1","False"
"TannerTolbertLv","Fan twitter of Tanner Tolbert.  Not his actual twitter.  Just a huge fan.","tanner_tolbert: Last October I was single and had no idea I was goin... https://t.co/sBnMWmPWIr #TannerTolbert https://t.co/RIi4tdMQH4","89C9FA","0","0","0","True"
"KEVlNOWENS","what do those run on","MY GRANDMA TRIED BRAINWASHING ME INTO THINKING I WAS RACIST SO SHES LIKE ""if a black guy came over and stared you down what would you feel""+","0084B4","C0DEED","0","0","True"
"itsbloodybroken","I don't even have an ankle.","@nourrytinhat I was thinking that the other night!","114561","C0DEED","1","1","True"
"shearerphotovid","Husband and Wife Photographer and Videographer. Weddings, Portraits, Video, Commercial.","Man I love #idaho, just editing pretty all day and I'm blessed to live in such an amazing place! But_ https://t.co/8OF90pupOA","3B94D9","0","0","0","True"
"queenzingha","23. West Indian American. T.","In the mood to watch The Notebook ..a good cry @ a love story is my thing ___","94D487","5ED4DC","1","1","True"
"3IRIS6Miranda19","I will go into survival mode if tickled","Remember when esteban was calling the dead but got put on hold https://t.co/XJ1Tjd8d5z","4A913C","0","1","1","True"
"UtdMahon","Football Enthusiast // #mufc #RedArmy Bastian Schweinsteiger. #ManchesterIsRed","Even when hes happy he does ""the face""  https://t.co/yIzYFPk4yl","F01313","0","0","0","True"
"andyhartleyuk","Mapping geek, ecologist, data lover. I use twitterfeed to autotweet UK wildlife Flickr pics. I then use Twitter Widgets HTML with expanded pics to practice id.","Kingfisher: kban2011 has added a photo to the pool:
 https://t.co/IpcCX7zUDa","0084B4","C0DEED","0","0","True"
"Ozzy_bby","#ProudLatina#24yrsyoung#FootballBaseball__Basketballhatemelovemeudontmakemeorbrakmefollowme","And the car shopping begins __ __ #whattochoose #carcarcarseverywhere https://t.co/eUepCV6t4X","0084B4","C0DEED","1","1","True"
"khamaria_alahna","Romans 12:9","I just want to hangout and shop with @Zendaya for a day. I feel like I relate to her personality _","F5ABB5","EEEEEE","1","1","True"
"datafrancois","I'm the twitter bot tweeting only the english posts of @FrancoisGoube, CEO @Cogniteev, @OnCrawl, @DocidoHQ","The dirtiest object in your bedroom may surprise you https://t.co/fLiFhknqjA","0084B4","C0DEED","0","0","True"
"SketchBolt","Nerd  Gamer  Book Horse  College student  (He/him)","@Nasharchy And farming for legendary guns is always fun! :D","C42FC4","FFFFFF","1","0","False"
"minnieminzyminx","A bit too cheeky for my own good :p (31, UK, geeky, quirky, also talks before thinking...bad habit I know but meh -_-) instagram: @minxyminnieminzy","When you love someone you gotta love everything about them including the nose picking! #quoteoftheday #fallinlove 
https://t.co/5UWbfPsBjU","0099B9","5ED4DC","1","1","True"
"derraero","http://t.co/s95Wh4yknv                           babyself/toddlerself","HES FUCKING DOING IT AGAIN I AM IN THE NEXT ROOM I WAS TRYINF TO DO HOMEWORK AND THIS HAPPENS FUCK OFF https://t.co/Fm5lsXSDkq","0084B4","C0DEED","1","1","True"
